interval_id,p01i,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby,next_p01i
5599,0.24,68.0,66.155,93.675,95.0,8.5,29.86,1011.0,2.25,0.1
5600,0.1,66.56,64.22,92.19,105.0,8.5,29.87,1011.2,4.5,0.03
5619,0.0,66.14,62.42,87.80333333333334,350.0,11.333333333333334,29.906666666666663,1012.3,9.333333333333334,0.07
5620,0.07,63.92000000000001,62.42,94.88,133.33333333333334,16.0,29.899999999999995,1012.3,3.5,0.11
5621,0.11,62.465,60.61999999999999,93.6775,35.0,13.5,29.9,1012.5,2.25,0.03
5622,0.03,62.465,60.61999999999999,93.6775,37.5,16.0,29.9125,1013.1,1.9375,0.03
5623,0.03,62.33,60.44,93.525,45.0,16.0,29.935,1013.8,2.0,0.05
5624,0.05,62.06,60.98,96.25,50.0,15.0,29.96,1014.5,1.5,0.02
5685,0.0,66.92,64.04,90.46,220.0,4.0,29.91,1012.5,10.0,0.17
5869,0.0,87.98,68.0,51.68,250.0,10.0,29.93,1013.1,10.0,0.02
5897,0.0,71.6,66.2,83.09,270.0,12.0,29.6,19.8,10.0,0.11
5898,0.11,67.73,64.535,89.5325,232.5,9.0,29.6175,1002.6,6.0,0.02
5996,0.0,77.0,60.08,55.91,220.0,13.0,29.78,1008.0,10.0,0.12
5997,0.12,72.14,63.77,75.785,225.0,8.0,29.795,1009.0,8.0,0.08
6097,0.0,60.08,51.98,74.56,220.0,4.0,29.89,1012.1,7.0,0.06
6099,0.01,57.02,53.96,89.48,0.0,0.0,29.9,1012.3,10.0,0.06
6126,0.0,55.04,51.98,89.4,300.0,7.0,29.94,1014.0,10.0,0.05
6127,0.05,53.78,53.33,98.38,225.0,5.0,29.97,1014.9,2.5,0.17
6128,0.17,55.22,53.33,93.335,175.0,6.5,29.925,1013.5,5.0,0.07
6133,0.0,68.0,57.92,70.15,220.0,10.0,29.85,1010.7,10.0,0.02
6201,0.0,55.94,48.92,77.23,250.0,4.0,29.91,1012.9,10.0,0.02
6202,0.02,55.04,51.98,89.4,100.0,6.0,29.86,1011.3,4.0,0.2
6203,0.2,53.78,53.33,98.38,60.0,2.5,29.865,1011.0,2.375,0.24
6209,0.0,64.94,60.98,87.0,210.0,11.0,29.63,1003.3,10.0,0.02
6215,0.0,55.22,53.33,93.335,25.0,7.5,29.825,1010.3,8.0,0.02
6342,0.0,64.04,57.92,80.49,230.0,4.0,29.93,1013.1,10.0,0.14
6343,0.14,64.67,59.99,84.81,220.0,7.5,29.96,1014.0,7.5,0.08
6344,0.08,64.28000000000002,62.42,93.68,230.0,6.333333333333333,29.98,1015.3,4.166666666666667,0.02
6464,0.0,55.04,50.0,83.08,70.0,5.0,30.05,1017.5,10.0,0.02
6469,0.01,57.8,55.580000000000005,92.31666666666666,90.0,6.666666666666667,29.956666666666667,1014.0,7.333333333333333,0.04
6470,0.04,57.8,56.54,95.60666666666668,76.66666666666667,6.666666666666667,29.916666666666668,1012.9,3.1666666666666665,0.04
6471,0.04,59.0,57.56,94.97,90.0,6.0,29.89,1012.3,1.375,0.04
6472,0.04,59.35999999999999,57.44,93.34666666666664,80.0,5.333333333333333,29.876666666666665,1011.5,3.6666666666666665,0.04
6478,0.01,60.89,60.44,98.425,110.0,4.0,29.715,1006.1,6.0,0.05
6484,0.0,62.06,60.98,96.25,0.0,0.0,29.62,1002.9,9.0,0.04
6485,0.04,62.42,60.85999999999999,94.63666666666666,0.0,0.0,29.60333333333333,1002.2,3.0,0.18
6534,0.0,57.02,55.04,93.08,0.0,0.0,29.85,1010.7,10.0,0.02
6537,0.09,58.4,57.44,96.64666666666666,0.0,0.0,29.81,1009.3,2.6666666666666665,0.1
6538,0.1,60.08,57.02,89.61,0.0,0.0,29.79,1008.7,3.0,0.12
